task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	f4/99a1b2	19610	run_unidoc (5)	COMPLETED	0	2025-07-10 12:01:26.991	1.6s	628ms	44.7%	12.5 MB	19.7 MB	1.3 MB	39.7 KB
39	4c/d2ecb4	10149	run_merizo (4)	COMPLETED	0	2025-07-10 12:00:09.474	1m 20s	1m 18s	104.9%	1.6 GB	4.7 GB	235.8 MB	360 B
49	a9/ab9a99	19966	run_filter_domains (1)	COMPLETED	0	2025-07-10 12:01:28.649	2.2s	636ms	19.3%	6.5 MB	15.9 MB	678.9 KB	1.3 KB
30	69/389ed6	5943	run_merizo (1)	COMPLETED	0	2025-07-10 11:59:51.287	1m 59s	1m 58s	126.7%	1.6 GB	4.7 GB	236 MB	350 B
43	ec/094a3d	11763	run_merizo (6)	COMPLETED	0	2025-07-10 12:00:14.936	1m 36s	1m 34s	120.7%	1.6 GB	4.7 GB	235.9 MB	377 B
31	7c/7cfbe1	3968	run_merizo (2)	COMPLETED	0	2025-07-10 11:59:48.124	2m 3s	2m 3s	133.9%	1.6 GB	4.7 GB	236.1 MB	394 B
48	39/aec81f	10650	run_merizo (7)	COMPLETED	0	2025-07-10 12:00:11.377	1m 40s	1m 40s	124.9%	1.6 GB	4.7 GB	236 MB	381 B
41	a9/52e12e	18988	run_merizo (5)	COMPLETED	0	2025-07-10 12:01:22.077	30.2s	29.3s	99.6%	1.6 GB	4.7 GB	235.8 MB	279 B
51	38/697e44	21657	collect_results (1)	COMPLETED	0	2025-07-10 12:01:52.341	3s	2.2s	50.3%	22.3 MB	343.3 MB	9.4 MB	892 B
50	d0/86f2a1	21663	convert_files (1)	COMPLETED	0	2025-07-10 12:01:52.361	3.4s	2.6s	74.5%	21.5 MB	342 MB	18.2 MB	2.7 KB
52	53/6d97aa	22154	run_filter_domains_reformatted (1)	COMPLETED	0	2025-07-10 12:01:55.764	352ms	121ms	88.1%	5.5 MB	15.6 MB	1.3 MB	2.6 KB
53	80/2df7d9	22307	run_get_consensus (1)	COMPLETED	0	2025-07-10 12:01:56.161	4.5s	4.2s	81.7%	911 MB	1.2 GB	12.4 MB	1.8 KB
